chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,1,1,1,1,1,1,1,0,1,1,1,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.936170212765957,1,1,1,1,0.875,1,1
BDCHP-1X10-HUMANHAP550_11218540_C-b37,0.2,0.899159663865546,1,1,1,1,0.703703703703704,0,1,1,1,1,0,1,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.996466431095406,1,0.997518610421836,1,1,0.893617021276596,1,0.994475138121547,1,0,0.9375,1,1
Cardio-Metabo_Chip_11395247_A-b37,0.15,0.915966386554622,0.923913043478261,1,0.930232558139535,1,0.0740740740740741,0,0.116883116883117,0.995670995670996,0,0,0,1,1,1,0,0,1,1,0.978260869565217,1,1,1,0.939929328621908,1,0.982630272952854,0.822222222222222,0.991735537190083,0.978723404255319,1,1,1,0,0.9375,1,0
cardio-metabo_chip_11395247_c-b37,0.15,0.915966386554622,0.934782608695652,1,0.930232558139535,1,0.111111111111111,0,0.116883116883117,0.995670995670996,0,0,0,1,1,1,0,0,1,1,0.978260869565217,1,1,1,0.939929328621908,1,0.982630272952854,0.822222222222222,0.991735537190083,0.978723404255319,1,1,1,0,0.9375,1,0
Consortium-OncoArray_15047405_A-b37,0.15,1,1,0,1,1,0.185185185185185,0,0.987012987012987,1,0,0,0,0.161290322580645,0,1,1,1,1,1,0.978260869565217,1,1,0.111111111111111,0.996466431095406,1,0.970223325062035,0.977777777777778,1,0.893617021276596,1,0.994475138121547,0,0,0,1,0
GenomeWideSNP_6.na33.annot-b37,1,1,1,0,1,1,0.222222222222222,1,1,1,0,1,1,0.451612903225806,1,1,1,1,1,1,0.978260869565217,1,1,0.777777777777778,0.985865724381625,1,0.995037220843672,0.955555555555556,0.962809917355372,0.893617021276596,1,1,1,0,0.75,1,0
GSA-24v1-0_A1-b37,0.1,0.0672268907563025,1,0.928571428571429,0.953488372093023,1,0.888888888888889,0,1,0.995670995670996,0,1,0,0,0,1,1,1,1,1,0.978260869565217,1,0.785714285714286,0.555555555555556,0.92226148409894,0.733333333333333,0.940446650124069,0.977777777777778,0.93801652892562,0.957446808510638,0.25,1,0,0,0.9375,0,0
GSA-24v1-0_A2-b37,0.1,0.0672268907563025,1,0.928571428571429,0.953488372093023,1,0.888888888888889,0,1,0.995670995670996,0,1,0,0,0,1,1,1,1,1,0.978260869565217,1,0.785714285714286,0.555555555555556,0.92226148409894,0.733333333333333,0.940446650124069,0.977777777777778,0.93801652892562,0.957446808510638,0.25,1,0,0,0.9375,0,0
GSA-24v1-0_A6-b37,0.1,0.0672268907563025,1,0.928571428571429,0.953488372093023,1,0.888888888888889,0,1,0.995670995670996,0,1,0,0,0,1,1,1,1,1,0.978260869565217,1,0.785714285714286,0.555555555555556,0.92226148409894,0.733333333333333,0.940446650124069,0.977777777777778,0.93801652892562,0.957446808510638,0.25,1,0,0,0.9375,0,0
GSA-24v2-0_A1-b37,0.95,1,1,1,1,1,1,0,1,1,1,1,1,0.612903225806452,1,1,1,1,1,1,0.978260869565217,1,1,1,1,1,1,0.955555555555556,1,0.893617021276596,1,0.994475138121547,1,0,0.875,1,0
