chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
BDCHP-1X10-HUMANHAP550_11218540_C-b37,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
Cardio-Metabo_Chip_11395247_A-b37,1,0,0.673913043478261,0.857142857142857,0,1,0,0,0,0,0,0,0,0.967741935483871,0,0,1,1,0,1,0.978260869565217,0,1,0,0.950530035335689,1,1,0,0.847107438016529,0,1,0.779005524861878,1,0,0,0,0
cardio-metabo_chip_11395247_c-b37,1,0,0.673913043478261,0.857142857142857,0,1,0,0,0,0,0,0,0,0.967741935483871,0,0,1,1,0,1,0.978260869565217,0,1,0,0.950530035335689,1,1,0,0.847107438016529,0,1,0.779005524861878,1,0,0,0,0
Consortium-OncoArray_15047405_A-b37,0,1,1,0,1,0,0,0,0,0,0,0,0,0.967741935483871,0,1,0,1,1,0,1,0,1,0,1,1,0,0.911111111111111,0.971074380165289,1,0,0.994475138121547,0,0,0,0.96,0
GenomeWideSNP_6.na33.annot-b37,0,1,1,0,0.976744186046512,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0.978260869565217,1,1,0,1,0,0,0.844444444444444,0.962809917355372,1,0,0.983425414364641,1,0,0,0,0
GSA-24v1-0_A1-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
GSA-24v1-0_A2-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
GSA-24v1-0_A6-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
GSA-24v2-0_A1-b37,0,0,1,1,1,1,0,0,1,0,1,1,1,0.935483870967742,1,0,0.666666666666667,1,1,0.978260869565217,0.956521739130435,1,1,0,1,1,0.995037220843672,1,0.995867768595041,1,0,1,0,0,0,1,0
GSAMD-24v1-0_20011747_A1-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
GSAMD-24v2-0_20024620_A1-b37,0,1,1,1,1,1,0,1,1,0,1,1,1,0.967741935483871,1,1,1,1,1,1,1,1,1,1,1,1,0.995037220843672,0.844444444444444,0.962809917355372,1,0,0.983425414364641,0,1,0,1,0
GSCA-24v1-0_20010441_A1-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
