array,himc_imputed_match_mean,himc_imputed_match_lower,himc_imputed_match_upper,himc_imputed_match_df,himc_typed_match_mean,himc_typed_match_lower,himc_typed_match_upper,himc_typed_match_df,himc_diff,himc_imputed_match_rank,himc_typed_match_rank,himc_himc_diff_rank
HumanOmni5-4v1-1_A-b37,0.9526253454401895,0.9443506820758346,0.9609000088045444,2532,0.5167464114832536,0.49631495357084826,0.537177869395659,2298,0.4358789339569359,59,94,1
InfiniumOmniExpressExome-8v1-4_A1-b37,0.8744571654165022,0.8615514680805493,0.8873628627524551,2532,0.46047342563644483,0.4398231070533205,0.48112374421956916,2238,0.41398373978005737,87,95,2
InfiniumExome-24v1-1_A1-b37,0.8732727990525069,0.8603151525413328,0.8862304455636809,2532,0.46047342563644483,0.4398231070533205,0.48112374421956916,2238,0.41279937341606204,88,96,3
InfiniumOmni5-4v1-2_A1-b37,0.9660481642321358,0.9589939724790845,0.9731023559851871,2532,0.5602435841670291,0.5399495859967557,0.5805375823373026,2298,0.40580458006510667,28,92,4
InfiniumPsychArray-24v1-1_A1-b37,0.9557836557441769,0.9477763307317417,0.9637909807566121,2532,0.5691768826619965,0.5488641542884685,0.5894896110355246,2283,0.3866067730821804,55,85,5
humancore-24-v1-0-manifest-file-a-b37,0.9553888669561784,0.9473475356557078,0.963430198256649,2532,0.5824941905499613,0.5555831620304517,0.609405219069471,1290,0.3728946764062171,56,75,6
InfiniumCore-24v1-1_A1-b37,0.9506124061635717,0.9421693728419716,0.9590554394851718,2530,0.5824941905499613,0.5555831620304517,0.609405219069471,1290,0.36811821561361036,61,76,7
Human1M-Duov3_C-b37,0.9648637978681406,0.95769202289001,0.9720355728462712,2532,0.6080904741191823,0.5881309543076676,0.6280499939306969,2298,0.3567733237489583,30,65,8
human610-quadv1_h-b37,0.9648637978681406,0.95769202289001,0.9720355728462712,2532,0.6080904741191823,0.5881309543076676,0.6280499939306969,2298,0.3567733237489583,31,66,9
Human1M-Duov3_B-b37,0.9644690090801421,0.9572585313680416,0.9716794867922426,2532,0.6080904741191823,0.5881309543076676,0.6280499939306969,2298,0.35637853496095984,32,67,10
