Sequence,QC_Pass
NC_012920.1,TRUE
AB055387.1,FALSE
AB626609.1,TRUE
AB626610.1,TRUE
AF346963.1,TRUE
AF346964.1,TRUE
AF346965.1,TRUE
AF346966.1,TRUE
AF346967.1,TRUE
AF346968.1,TRUE
AF346969.1,TRUE
AF346970.1,TRUE
AF346971.1,TRUE
AF346972.1,TRUE
AF346973.1,TRUE
AF346974.1,TRUE
AF346975.1,TRUE
AF346976.1,TRUE
AF346977.1,TRUE
AF346978.1,TRUE
AF346979.1,TRUE
AF346980.1,TRUE
AF346981.1,TRUE
AF346982.1,TRUE
AF346983.1,TRUE
AF346984.1,TRUE
AF346985.1,TRUE
AF346986.1,TRUE
AF346987.1,TRUE
AF346988.1,TRUE
AF346989.1,TRUE
AF346990.1,TRUE
AF346991.1,TRUE
AF346992.1,TRUE
AF346993.1,FALSE
AF346994.1,TRUE
AF346995.1,TRUE
AF346996.1,TRUE
AF346997.1,TRUE
AF346998.1,FALSE
AF346999.1,FALSE
AF347000.1,TRUE
AF347001.1,FALSE
AF347002.1,TRUE
AF347003.1,TRUE
AF347004.1,TRUE
AF347005.1,TRUE
AF347006.1,TRUE
AF347007.1,FALSE
AF347008.1,TRUE
AF347009.1,TRUE
AF347010.1,TRUE
AF347011.1,FALSE
AF347012.1,TRUE
AF347013.1,TRUE
AF347014.1,TRUE
AF347015.1,TRUE
AF381981.1,TRUE
AF381982.1,TRUE
AF381983.1,TRUE
AF381984.2,TRUE
AF381985.1,TRUE
AF381986.2,TRUE
AF381987.1,TRUE
AF381988.1,TRUE
AF381989.1,TRUE
AF381990.1,TRUE
AF381991.1,TRUE
AF381992.2,TRUE
AF381993.1,TRUE
AF381994.2,TRUE
AF381995.1,TRUE
AF381996.2,TRUE
AF381997.1,TRUE
AF381998.1,TRUE
AF381999.2,TRUE
AF382000.1,TRUE
AF382001.1,TRUE
AF382002.1,TRUE
AF382003.2,TRUE
AF382004.1,TRUE
AF382005.1,TRUE
AF382006.1,TRUE
AF382007.2,FALSE
AF382008.3,TRUE
AF382009.2,TRUE
AF382010.2,TRUE
AF382011.1,TRUE
AF382012.1,TRUE
AF382013.1,TRUE
AJ842744.1,FALSE
AJ842745.1,FALSE
AJ842746.1,FALSE
AJ842747.1,FALSE
AJ842748.1,FALSE
AJ842749.1,FALSE
AJ842750.1,FALSE
AJ842751.1,FALSE
AM263177.1,TRUE
AM263178.1,TRUE
AM263179.1,TRUE
AM263180.1,TRUE
AM263181.1,TRUE
AM263182.1,TRUE
AM263183.1,TRUE
AM263184.1,TRUE
AM263185.1,TRUE
AM263186.1,TRUE
AM263187.1,TRUE
AM263188.1,TRUE
AM263189.1,TRUE
AM263190.1,TRUE
AM263191.1,TRUE
AM711903.1,FALSE
AM711904.1,TRUE
AP008249.1,TRUE
AP008250.1,TRUE
AP008251.1,TRUE
AP008252.1,TRUE
AP008253.1,TRUE
AP008254.1,TRUE
AP008255.1,TRUE
AP008256.1,TRUE
AP008257.1,FALSE
AP008258.1,TRUE
AP008259.1,TRUE
AP008260.1,TRUE
AP008261.1,TRUE
AP008262.1,FALSE
AP008263.1,FALSE
AP008264.1,TRUE
AP008265.1,TRUE
AP008266.1,TRUE
AP008267.1,TRUE
AP008268.1,TRUE
AP008269.1,FALSE
AP008270.1,TRUE
AP008271.1,TRUE
AP008272.1,TRUE
AP008273.1,FALSE
AP008274.1,TRUE
AP008275.1,TRUE
AP008276.1,TRUE
AP008277.1,TRUE
AP008278.1,TRUE
AP008279.1,TRUE
AP008280.1,TRUE
AP008281.1,FALSE
AP008282.1,TRUE
AP008283.1,TRUE
AP008284.1,FALSE
AP008285.1,TRUE
AP008286.1,TRUE
AP008287.1,TRUE
AP008288.1,FALSE
AP008289.1,TRUE
AP008290.1,TRUE
AP008291.1,TRUE
AP008292.1,TRUE
AP008293.1,TRUE
AP008294.1,TRUE
AP008295.1,TRUE
AP008296.1,TRUE
AP008297.1,TRUE
AP008298.1,FALSE
AP008299.1,TRUE
AP008300.1,TRUE
AP008301.1,TRUE
AP008302.1,TRUE
AP008303.1,TRUE
AP008304.1,TRUE
AP008305.1,TRUE
AP008306.1,TRUE
AP008307.1,TRUE
AP008308.1,FALSE
AP008309.1,TRUE
AP008310.1,TRUE
AP008311.1,TRUE
AP008312.1,TRUE
AP008313.1,TRUE
AP008314.1,TRUE
AP008315.1,TRUE
AP008316.1,TRUE
AP008317.1,TRUE
AP008318.1,TRUE
AP008319.1,TRUE
AP008320.1,TRUE
AP008321.1,TRUE
AP008322.1,TRUE
AP008323.1,FALSE
AP008324.1,TRUE
