seq_name,duplicate_seqs
KF540774.1,KF540784.1;KF540787.1;KF540796.1;KF540798.1;KF540897.1;KF540913.1
KX457095.1,KX457098.1;KX457099.1;KX457100.1;KX457103.1;KX457104.1
MF055996.1,MF056787.1
KY409346.1,KY409613.1
KJ185459.1,KJ185998.1
JF824864.2,JF824957.2
KJ154798.1,KJ154807.1;KJ154820.1
JQ797917.1,JQ797918.1
KY409317.1,KY409961.1;KY410211.1
KT819253.1,KT819254.1
KJ185467.1,KJ185484.1
MF055957.1,MF056669.1;MF056810.1;MF056818.1;MF056843.1;MF057119.1
JF824866.2,JF824959.2
KY409086.1,KY409107.1;KY409116.1;KY409186.1;KY409215.1
MF057470.1,MF057545.1
KJ154487.1,KJ154531.1;KJ154577.1;KJ154578.1;KJ154615.1
GU392084.1,GU392085.1;GU392086.1
JQ324720.1,JQ324721.1;JQ324742.1;JQ324777.1;JQ324912.1
KC911365.1,KC911388.1
KY645797.1,KY645806.1;KY645810.1
KF161503.1,KF161645.1;KF161754.1;KF162159.1;KM062183.1;KY670891.1
KJ445759.1,KJ445760.1
EF153808.1,EU007844.1;KF874337.1;KF874343.1
JF824860.2,JF824953.2
KY409713.1,KY410009.1
KX457364.1,KX457369.1
HQ873527.1,HQ873534.1;HQ873548.1;HQ873551.1;HQ873552.1
KT725878.1,KT725879.1
MF056959.1,MF056960.1;MF056965.1
JQ704925.1,MG706447.1
MF056878.1,MF057042.1
KX457366.1,KX457370.1
AP010719.1,AP010996.1
JX153122.1,JX153470.1;JX153918.1;KF162545.1;KY782232.1
KJ185866.1,KJ185867.1
GU592033.1,GU592048.1
KC622080.1,KC622087.1;KC622088.1;KC622097.1;KC622099.1;KC622124.1;KC622136.1;KC622137.1;KC622141.1;KC622147.1;KC622149.1;KC622153.1;KC622177.1;KC622182.1;KC622189.1;KC622193.1;KC622195.1;KC622201.1;KC622206.1;KC622207.1;KC622211.1;KC622213.1;KC622214.1
FJ383177.1,FJ383178.1
KC252342.1,KC252360.1;KC252414.1
KY409828.1,KY410037.1
KY408863.1,KY408872.1;KY409046.1;KY409073.1;KY409105.1;KY409167.1;KY409168.1;KY409962.1;KY410109.1
EU007881.1,EU482335.1
KC505070.1,KC505072.1;KC505073.1
MF362907.1,MF362933.1
KX456829.1,KX456838.1
JF824812.2,JF824905.2
JX153987.1,KF162543.1
KJ154206.1,KJ154370.1
FJ383310.1,FJ383312.1;FJ383313.1;FJ383318.1
HQ659848.1,HQ661844.1
FJ348180.1,FJ348191.1
JX153981.1,KF162368.1;KF162476.1
MF381389.1,MF381394.1;MF381398.1;MF381400.1;MF381407.1;MF381486.1;MF381492.1;MF381494.1;MF381497.1;MF381498.1;MF381506.1;MF381513.1;MF381518.1;MF381524.1;MF381529.1
KC553990.1,KC554008.1;KC554010.1
JF824814.2,JF824907.2
MF695978.1,MF696015.1;MF696031.1;MF696075.1;MF696081.1;MF696119.1
JF824834.2,JF824927.2
KF451223.1,KF451261.1
KF161412.1,KF161959.1
KC622229.1,MF696058.1;MF696102.1;MF696138.1
KX456706.1,KX456709.1;KX456712.1;KX456716.1;KX456726.1
KY408291.1,KY408450.1;KY408451.1;KY408456.1;KY408481.1;KY408573.1;KY408747.1
KX456700.1,KX456807.1
EU597574.1,KJ446361.1
KC252336.1,KC252454.1;KC252496.1;KC252499.1
KY824860.1,KY824870.1
KJ154208.1,KJ154219.1;KJ154244.1;KJ154246.1;KJ154266.1
KJ154164.1,KJ154192.1
KY408954.1,KY408955.1;KY408980.1;KY408981.1;KY408991.1;KY409240.1;KY409507.1;KY409516.1;KY409559.1;KY409611.1;KY409665.1;KY409718.1;KY409735.1;KY409777.1;KY409870.1;KY409887.1;KY409910.1;KY409990.1;KY410122.1;KY410178.1;KY410198.1;KY410231.1
KY645655.1,KY645657.1;KY645659.1;KY645661.1;KY645664.1;KY645665.1;KY645666.1;KY645668.1;KY645669.1
KF540627.1,KF540651.1;KF541023.1
FJ383353.1,FJ383354.1;FJ383356.1
EU482322.1,KJ446473.1
MF056199.1,MF056212.1;MF056235.1
MG571107.1,MG571111.1;MG571188.1;MG571190.1;MG571191.1
JX900351.1,JX900654.1
KF451721.1,KF451725.1
KX228171.1,KX228172.1;KX228173.1
KY408840.1,KY408845.1;KY408919.1;KY408935.1;KY409137.1;KY409161.1;KY409206.1;KY409250.1;KY409368.1;KY409525.1;KY409991.1
MH368695.1,MH368696.1;MH368697.1;MH368698.1;MH368699.1;MH368700.1;MH368701.1;MH368702.1;MH368703.1;MH368704.1;MH368705.1;MH368706.1;MH368707.1;MH368708.1;MH368709.1;MH368710.1;MH368711.1;MH368712.1;MH368713.1;MH368714.1;MH368715.1;MH368716.1;MH368717.1;MH368718.1;MH368719.1;MH368720.1;MH368721.1;MH368722.1;MH368723.1;MH368724.1;MH368725.1;MH368726.1;MH368727.1;MH368728.1;MH368729.1
KP240751.1,KP240887.1
DQ282493.1,DQ282495.1;DQ282496.1;DQ282497.1;DQ282498.1;DQ282499.1;DQ282500.1;DQ282501.1;DQ282502.1;DQ282504.1
KY645698.1,KY645700.1
FJ348174.1,FJ348215.1
JQ702842.1,KJ446244.1
MF055751.1,MF055768.1;MF055769.1;MF055794.1;MF055800.1;MF055806.1;MF055814.1;MF055817.1;MF055819.1;MF055827.1;MF055839.1;MF055863.1;MF055865.1;MF055866.1;MF055923.1;MF057257.1;MF057260.1;MF057262.1;MF057270.1;MF057286.1;MF057307.1;MF057317.1;MF057353.1;MF057390.1;MF057421.1
KY408861.1,KY408884.1;KY408908.1;KY409018.1;KY409147.1;KY409170.1;KY409172.1;KY409174.1;KY409639.1;KY409907.1;KY410047.1;KY410130.1;KY410169.1
MF055805.1,MF055974.1;MF055978.1;MF056828.1
KF148218.1,KF148436.1;KF148501.1;KF148566.1
KY408261.1,KY408684.1;KY408745.1
MF522873.1,MF523040.1
AP010723.1,AP010756.1
MF362791.1,MF362803.1
KF451687.1,KF451689.1
JX900533.1,JX900600.1;JX900627.1;JX900708.1;JX900829.1
MG571109.1,MG571114.1;MG571189.1;MG571194.1;MG571196.1
KU523342.1,KU523344.1
KU683474.1,KU683488.1;KU683505.1
FJ383795.1,FJ383799.1;FJ383801.1;FJ383809.1;FJ383810.1
JF824830.2,JF824923.2
KJ154836.1,KJ154837.1;KJ154843.1;KJ154853.1
JX900375.1,JX900429.1;JX900713.1
KJ185551.1,KJ185926.1
MF055809.1,MF056419.1;MF056427.1;MF056437.1
KX228179.1,KX228180.1;KX228181.1
KX228167.1,KX228168.1;KX228169.1
KF540764.1,KF540767.1;KF540777.1
FJ383206.1,FJ383209.1
HQ651705.1,HQ651708.1
MF522857.1,MF523082.1;MF523123.1;MF523124.1;MF523132.1;MF523135.1;MF523182.1;MF523202.1
KJ446652.1,KJ446653.1;KJ446654.1;KJ446656.1;KJ446657.1;KJ446658.1;KJ446659.1;KJ446660.1;KJ446661.1;KJ446662.1;KJ446663.1
EU092688.1,EU092871.1;EU092909.1
JX413039.1,JX413040.1
JF824868.2,JF824961.2
KU683042.1,KU683055.1;KU683278.1
KX457637.1,KX457643.1
KF451349.1,KF451359.1
MF522865.1,MF522921.1;MF522926.1
AP010731.1,AP011011.1
KJ669147.1,KJ669148.1
KU683016.1,KU683155.1
MF056274.1,MF056278.1;MF056386.1;MF056394.1;MF056453.1;MF056597.1
JX900706.1,JX900710.1;JX900715.1
KJ185541.1,KJ185719.1
FJ383457.1,FJ383458.1
FJ383778.1,FJ383803.1
MF381455.1,MF381458.1;MF381466.1
GQ377749.1,GQ377750.1;GQ377751.1
FJ527777.2,JQ324675.1;JQ324679.1;JQ324781.1;JQ324853.1
KY681012.1,KY681014.1
MF058150.1,MF058164.1;MF058418.1
KX457178.1,KX457179.1;KX457429.1;KX457436.1;KX457445.1;KX457451.1;KX457476.1
KF162973.1,KY782155.1
KJ801468.1,KJ801469.1;KM102127.1
EU482306.1,FJ951597.1
MF056204.1,MF056296.1;MF056299.1;MF056643.1;MF057073.1
KU683078.1,KU683288.1;KU683421.1
JQ324539.1,JQ324657.1
KC346131.1,KC346132.1;KC346156.1;KC346158.1
KY409247.1,KY409439.1;KY409843.1
KU683446.1,KU683591.1
EF153831.1,EU095541.1
KJ154681.1,KJ154682.1
KJ185785.1,KJ185788.1
KY409565.1,KY409821.1
JX153755.1,JX153998.1;KF163012.1
KY409441.1,KY409823.1
KY409580.1,KY410226.1
MF043468.1,MF043471.1;MF043481.1;MF043510.1
KF541017.1,KF541030.1;KF541031.1
KX456916.1,KX456921.1
KY408633.1,KY408767.1
KF540679.1,KF540684.1
JX152966.1,JX153205.1
KJ446766.1,KJ446767.1
KF541011.1,KF541021.1;KF541022.1;KF541043.1;KF541045.1;KF541049.1;KF541050.1
MG571160.1,MG571187.1
KF161381.1,KF161793.1
KF540558.1,KF540566.1;KF540584.1;KF540586.1;KF540595.1;KF540603.1;KF540626.1;KF540637.1;KF540639.1;KF540642.1;KF540650.1;KF540835.1;KF540959.1
EU597496.1,HM103359.1;KJ446001.1
MF381333.1,MF381470.1;MF381476.1;MF381478.1
MF991435.1,MF991440.1
GQ895150.1,HM036545.1;HM036546.1
KU683044.1,KU683368.1
KX457649.1,KX457655.1
FJ383580.1,FJ383581.1;FJ383586.1
MF991431.1,MF991432.1
KY824905.1,KY825037.1
FJ951488.1,FJ951516.1;FJ951582.1
EU597544.1,KJ446096.1
MF523176.1,MF523220.1
MF056358.1,MF056363.1
KX456897.1,KX456920.1
KT725971.1,KT725992.1
KJ154867.1,KJ154877.1
MF056254.1,MF057064.1
KF451332.1,KF451532.1
GU733740.1,GU733743.1;GU733745.1;GU733753.1
KY408963.1,KY408967.1
KP824812.1,KU954498.1
KY409249.1,KY409526.1;KY409963.1
KF451314.1,KF451321.1
MF056184.1,MF056186.1
JX900349.1,JX900363.1
EU597540.1,KJ445949.1
KJ154509.1,KJ154512.1;KJ154608.1;KJ446413.1;KJ446414.1;KJ446415.1
EU597520.1,KJ445877.1
KF056249.1,KF056250.1;KF056251.1;KF056252.1;KF056253.1;KF056254.1;KF056255.1
KF540546.1,KF540555.1
KF148315.1,KF148327.1
KJ923811.1,KJ923812.1
MF522938.1,MF522953.1
MF058577.1,MF058580.1
KF540540.1,KF540545.1
KY409736.1,KY410135.1
KY409488.1,KY409922.1
MF523056.1,MF523057.1
JN004272.1,JN419195.1
KY408270.1,KY408282.1;KY408324.1;KY408328.1;KY408353.1;KY408409.1;KY408475.1;KY408622.1
KJ185987.1,KJ186002.1
JQ324543.1,JQ324609.1;JQ324624.1;JQ324631.1;JQ324681.1;JQ324688.1;JQ324747.1;JQ324815.1;JQ324816.1
JQ704784.1,KC257358.1
HM185225.1,HM185226.1
KP345995.1,KP345997.1
KF540667.1,KF540710.1;KF540750.1
JX152783.1,JX154058.1;JX154062.1
KU683223.1,KU683508.1;KU683527.1
JX900806.1,JX900808.1
GQ983091.1,KF523405.1
JX900634.1,JX900647.1;JX900648.1
GU123033.1,KF162652.1
MF057605.1,MF058223.1
JQ704591.1,JQ705689.1
FJ467968.1,FJ467969.1;FJ467973.1
KF148337.1,KF148340.1
KX788167.1,KX789084.1
JX153894.1,KF162981.1
MF056331.1,MF056454.1
KF450968.1,KF450986.1
FJ460551.1,FJ460554.1
MF057263.1,MF057265.1
KX456666.1,KX456680.1
MG646213.1,MG646245.1
FJ383346.1,FJ383347.1;FJ383348.1;FJ383349.1;FJ383350.1
KJ154333.1,KJ154408.1;KJ154425.1;KJ154430.1;KJ154465.1;KJ154746.1
JQ324555.1,JQ324606.1;JQ324673.1;JQ324677.1;JQ324922.1
KX457019.1,KX457034.1
KX456525.1,KX456656.1;KX456671.1;KX456672.1
KY409387.1,KY409391.1;KY409596.1
MF056092.1,MF056094.1
DQ304982.1,DQ304983.1
KF451106.1,KF451120.1
KY410039.1,KY410095.1;KY410183.1
KF424557.1,MF176074.1
JX152795.1,JX153473.1;KF162829.1
KT899698.1,KX037873.1
KY824915.1,KY825061.1
KU683426.1,KU683538.1
JQ324860.1,JQ324887.1
KJ446202.1,KJ446203.1
KX456708.1,KX456715.1;KX456717.1;KX456718.1;KX456722.1;KX456723.1
HQ700839.1,HQ700840.1
KF540564.1,KF540589.1
MF362758.1,MF362760.1
KT726084.1,KT726114.1
KF540613.1,KF540647.1
KF540562.1,KF540565.1;KF540583.1;KF540602.1;KF540951.1
KX456540.1,KX456552.1
KU683211.1,KU683333.1
MF057450.1,MF057455.1
MF057606.1,MF057654.1
KU682963.1,KU683342.1
KT726054.1,KT726137.1;KT726141.1;KT726149.1
KX456546.1,KX456555.1;KX456561.1;KX456562.1;KX456563.1;KX456572.1
KX456960.1,KX456961.1;KX457157.1
KF540560.1,KF540577.1
JX900539.1,JX900743.1;JX900747.1;JX900815.1;JX900822.1
DQ137408.1,DQ137409.1
KU683235.1,KU683275.1
KT725900.1,KT725943.1;KT725945.1
KP240835.1,KP240863.1;KP240878.1
